References,Family,Status,,ID Number,Name,Illustration,Gloss,English equivalent,Norwegian equivalent,CEFR level,Definition in Norwegian,Definition in English,Example 1,Example 2,Example 3,Example 4,Example 5,Morphology,Synt. type of construction,Synt. func. of anchor,Synt. structure of anchor,Part of speech of anchor,SemType1,SemSubType1,SemType2,SemSubType2,SemType3,SemSubType3,SemType4,SemSubType4,Semantic role,Communicative type,Usage label,Anchor words,Common fillers,Comment,Dependency Structure,Dependency Structure of Illustration,Actionality,Actuality,Additive,Addressee,Apprehension,Assessment,Attitude,Calculation,Caritive,Causation,Cause,Comitative,Comparison,Condition,Concession,Consequence,Degree of accuracy,Degree of intensity,Discourse structure,Epistemic modality (Degree of certainty),Exceptive,Exclusive,Inclusive,Instrument,Manner,Measure,Mirative,Non-existence,Non-Standard Subject,Options,Phase of action,Pluractionality,Polarity value,Possession,Prohibition,Purpose,Quantification,Reaction to the previous discourse,Request,Result,Root modality,Routine,Salient property,Source of information,Source of opinion,Spatial expression,Subset,Taxis,Temporal expression,Temporary characteristics,Timeline,Threat,Volition
,,Olaf Mikkelsen,,1108,[NOEN] få fart på [NOE],"Hvis vi skal få fart på boligbygginga, så er det helt åpenbart at den tidsbruken må ned (NRK)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Olaf Mikkelsen,,1109,[NOEN] ta [NOE] på kornet,Det norske hus tar nordmenns fordommer på kornet (NRK),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Olaf Mikkelsen,,1110,[NOEN] harselere med [NOE],"Han harselerer med vår dobbeltmoral og våre fordommer, og forventninger, til innvandrere (NRK)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Olaf Mikkelsen,,1111,for all del,"Du må gjerne komme hit, men ta for all del ikke kulturen din med deg (NRK)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Olaf Mikkelsen,,1112,[NOEN] må VERB-INF (hvis) [NOEN] skal VERB-INF,"Skal du være her, må du gjøre som oss (NRK)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Olaf Mikkelsen,,1113,[NOEN] ta [NOE/NOEN] alvorlig,"Ramin forsøker stadig å vise hva han kan, men blir aldri tatt alvorlig (NRK)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Olaf Mikkelsen,,1114,[NOEN] være lett å like,"Kavousi har en umiddelbar sjarm over seg, som gjør Ramin til en rollefigur det er lett å like (NRK)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Olaf Mikkelsen,,1115,[NOEN] ta seg tid til [NOE],Regissør Vardøen tar seg god tid til det absurde i situasjonene (NRK),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Olaf Mikkelsen,,1116,[NOEN] følge med på [NOE],Her følger vi nøye med på hver brødskive som blir smurt (NRK),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Olaf Mikkelsen,,1117,([NOEN] sy) puter under armene på [NOEN],Da blir det puter under armene på de som ikke trenger det (Debatten),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Olaf Mikkelsen,,1118,[NOEN] sette fingeren på [NOE],"Det er liksom bare noe som føles veldig feil ut i min kropp, men jeg greier ikke helt å sette fingeren på hva det er (Ung.no)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Olaf Mikkelsen,,1119,[NOEN] komme ut av skapet,Det var som om partileder Arild Hermstad åpnet landsmøtet til et parti som var kommet ut av skapet (NRK),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Olaf Mikkelsen,,1120,[NOEN] få i stand [NOE],Europeiske ledere i Kyiv for å få i stand våpenhvile (NRK),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Olaf Mikkelsen,,1121,[NOEN] regne med at LEDDSETNING,FN reknar med at over 13.000 sivile er drepne i krigen (NRK),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Olaf Mikkelsen,,1122,[NOEN] regne med [NOE/NOEN],Du kan regne med meg! Man må regne med det.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Olaf Mikkelsen,,1123,[NOEN] ta på seg,ta på seg ansvar/oppgave/skyld/jobb/rolle/oppdrag/verv (NoWaC),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Olaf Mikkelsen,,1124,det ende med [NOE],I selve stakerennet i Lysebotn opp endte det med seier til Eirik Sverdrup Augdal hos mennene (NRK),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Olaf Mikkelsen,,1125,det gå,"Det endte med at vi fikk låne en undervannsharpun, og da gikk det (NRK)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Olaf Mikkelsen,,1126,[NOEN] klare ikke å motstå fristelsen (til å VERB-INF),"Til tross for advarsler på internett om å spise koikarpe, klarte ikke vennegjengen å motstå fristelsen (NRK)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Olaf Mikkelsen,,1127,[NOEN] ta ut tiltale mot [NOEN],Nå har politiet tatt ut tiltale mot mannen (NoWaC),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Olaf Mikkelsen,,1128,[NOEN] legge ned påstand om [NOE],Aktor kan komme til å legge ned påstand om 18 års forvaring (NoWaC),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Olaf Mikkelsen,,1129,[NOEN] følge opp [NOE],Det private kan ta på seg oppgaver som de så ikke er i stand til å følge opp hvis alvorlige komplikasjoner skulle tilkomme (NRK),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Olaf Mikkelsen,,1130,[NOE/NOEN] bøte på [NOE],For å bøte på problemet mener jeg man må kjøre en relativt streng linje i innvandingspolitikken (NoWaC),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Olaf Mikkelsen,,1131,vel vitende,"Det er et problem at leger kan løpe fra sine faglige og økonomiske ansvar, vel vitende om at det er du som må plukke opp regninga (NRK)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Olaf Mikkelsen,,1132,et snev av SUBSTANTIV,et snev av sannhet/håp/ironi/fornuft/interesse/troverdighet/humor/alvor (NoWaC),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Olaf Mikkelsen,,1133,[NOE] gå ut på å VERB-INF / at LEDDSETNING,En tilnærming som gikk ut på å trekke ned tempoet i kampen (NRK),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Olaf Mikkelsen,,1134,fare på ferde,Ser du denne kan det være fare på ferde (TV2),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Olaf Mikkelsen,,1135,[NOEN] holde hodet kaldt,Bare holde hodet kaldt og følge med på mitt (Bakemesterskapet Junior),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Olaf Mikkelsen,,1136,[NOEN] gå i spissen/bresjen/front for [NOE],Kvinner går i bresjen for rettferdighet i Kambodsjas klesindustri (Norsk Folkehjelp),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Olaf Mikkelsen,,1137,[NOEN] gå i strupen på [NOEN],Frps helsepolitiske talsperson Bård Hoksrud benyttet landsmøtetalen lørdag til å gå i strupen på Arbeiderpartiets helsepolitikk (NRK),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Olaf Mikkelsen,,1138,[NOE] gå i SUBSTANTIV (resultat),gå i oppløsning/oppfyllelse/orden/vasken/dass/glemmeboka/lufta (NoWaC),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Olaf Mikkelsen,,1139,[NOE] gå i SUBSTANTIV (retning),gå i land/bakken/bane/ring/sirkel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Olaf Mikkelsen,,1140,[NOEN] være redd for [NOE],Hun var redd for å ikke bli trodd (NRK),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Olaf Mikkelsen,,1141,gul og blå,Jeg er fremdeles gul og blå etter treningen forrige uke (NoWaC),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Olaf Mikkelsen,,1142,sønder og sammen,I en tid når engelskmenn jevnt over blir kritisert sønder og sammen i alle slags ordelag (NoWaC),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Olaf Mikkelsen,,1143,POSSESSIV tur,"min tur, din tur",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Olaf Mikkelsen,,1144,[NOE] utarte til [NOE],Mer enn 30 personer ble arrestert da en høyreekstrem marsj i Birmingham utartet til et masseslagsmål lørdag (NoWaC),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Olaf Mikkelsen,,1145,[NOEN] si [NOE] som det være,"Jeg sa det som det var, og foreslo at vi kunne være venner! (NoWaC)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Olaf Mikkelsen,,1146,[NOEN] slå ned [NOEN],Mest omtalt var en mann som slo ned en annen i Bergen (NRK),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Olaf Mikkelsen,,1147,[NOEN] trekke seg unna ([NOE/NOEN]),Jeg er ikke så engasjert i planleggingen. Trekker meg litt mer unna (NRK),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Olaf Mikkelsen,,1148,[NOEN] stille spørsmål til [NOEN],Etter foredraget ble det mulighet til å stille spørsmål til Erna (NoWaC),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Olaf Mikkelsen,,1149,[NOEN] stille [NOEN] spørsmål,På budsjettkonferansene i høst bør Regjeringen ha stilt seg spørsmålet om hva som er viktigst (NoWaC),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Olaf Mikkelsen,,1150,[NOEN-agent] VERB [NOEN-mottaker] [NOE/NOEN-tema],Jeg sender deg e-posten,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Olaf Mikkelsen,,1151,[NOEN-agent] VERB [NOE/NOEN-tema] til [NOEN-mottaker],Jeg sender e-posten til deg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Olaf Mikkelsen,,1152,[NOEN-agent] VERB [NOE/NOEN] PARTIKKEL,Jeg har lastet filen ned,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Olaf Mikkelsen,,1153,[NOEN-agent] VERB PARTIKKEL [NOE/NOEN],Jeg har lastet ned filen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Olaf Mikkelsen,,1154,i ly av SUBSTANTIV,i ly av mørket/natten/skumringen/nattemørket/fjellet/trærne/vinden/USA/ytringsfriheten (NoWaC),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Olaf Mikkelsen,,1155,i hælene på [NOEN],Ikaros dilta i hælene på bestisen sin Alger det meste av turen (NoWaC),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Olaf Mikkelsen,,1156,[NOEN] knive/kive om [NOE],Rivalene VIF og Lyn kniver om hvem som får et kvinnelag i Toppserien først (NoWaC),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Olaf Mikkelsen,,1157,[NOE/NOEN] være på jordet,"Bortsett fra at det faktisk er helt på jordet, er det noe annet som ligger i slike uttalelser (NRK)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Olaf Mikkelsen,,1158,alle monner drar,Jeg har vært psykolog lenge nok til å vite at alle monner drar (NRK),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Olaf Mikkelsen,,1159,[NOE/NOEN] gå over streken,Kritikken mot Martin Ødegaard går langt over streken (NRK),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Olaf Mikkelsen,,1160,VERB-kne,våkne/mørkne/blekne/mørkne/rakne/kvikne/tykne/slukne/størkne/friskne/harskne/mykne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Olaf Mikkelsen,,1161,på død og liv,Hvorfor skal man på død og liv skape disse problemene? (NoWaC),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Olaf Mikkelsen,,1162,liv og død,Svevde mellom liv og død og det var ei forferdelig tid (NoWaC),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Olaf Mikkelsen,,1163,[NOEN] gå seirende ut av [SITUASJON],Han har aldri gått seirende ut av en intervjuprosess (NRK),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Olaf Mikkelsen,,1164,[NOEN] miste troen på [NOE],Har helt mista trua,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Olaf Mikkelsen,,1165,X-iker,politiker/analytiker/kritiker/diabetiker/dramatiker/teoretiker/fanatiker/matematiker/skeptiker (NoWaC),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Olaf Mikkelsen,,1166,[NOEN] ta [NOE] på sparket,Han likte å ta ting på sparket,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Olaf Mikkelsen,,1167,[NOEN] få sparken (fra [ARBEIDSPLASS]) (av [ARBEIDSGIVER]),Han fikk sparken,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Olaf Mikkelsen,,1168,i X grad,i stor/større/størst mulig/liten/høy/økende/særlig/nevneverdig/tilstrekkelig/betydelig grad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Olaf Mikkelsen,,1169,[NOEN] ha anelse om [NOE],Jeg har ingen anelse om hva du snakker om (NRK),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Olaf Mikkelsen,,1170,det gå på SUBSTANTIV,Det går litt på status og sånn (NRK),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Olaf Mikkelsen,,1171,[NOE] være hinsides (ADJ/ADV),Historiene vi leste var så hinsides at vi lo av dem (=used alone as an adjective) Dette er hinsides mye fett (=intensifier modifying an adverb) Korrupsjonen er hinsides frekk (=intensifyer modifying an adjective),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Olaf Mikkelsen,,1172,DETERMINATIV/ADVERB som helst,Hva som helst. Når som helst.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Olaf Mikkelsen,,1173,VERB ferdig,"Skrive ferdig, spise ferdig, lage ferdig, snakke ferdig",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Laura Janda,,1174,[NOE/NOEN] være laget av/i [MATERIALE],Det hende at turistar måtte bort og ta på han Monrad. For å sjekka at han ikkje var laga i plast.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Laura Janda,,1175,med det samme,Eg såg det på dei med det same eg kom inn. Dei skulle til Oslo. Ikkje eg.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Olaf Mikkelsen,,1176,[NOEN] være en mester i [NOE],Det viste seg at foreningens nye nestformann er en mester i sveler! (NoWaC),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Olaf Mikkelsen,,1177,[NOEN] finne seg til rette ([STED]),"Ronaldo har dermed scoret i tre kamper på rad, og kan sies å ha funnet seg til rette i det spanske laget (NoWaC)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Olaf Mikkelsen,,1178,dårlig gjort,"Til de som har HACKET seg på vår IP-adresse: Dette er dårlig gjort!!!!!!! Men vi ignorerer dere, så det er bare å gi opp!!! (NoWaC)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Olaf Mikkelsen,,1179,[NOEN] stå fritt til å VERB-INF,Selger står fritt til å godta eller forkaste ethvert bud (NoWaC),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Olaf Mikkelsen,,1180,X-voren,"kranglevoren, vaklevoren, riklevoren, skranglevoren",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Olaf Mikkelsen,,1181,X-modig,"gammelmodig, heltemodig, sørgmodig, godmodig, langmodig",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Olaf Mikkelsen,,1182,[NOEN] komme til hektene,"Når jeg kom til hektene igjen, gikk jeg opp trappa og så monsteret (NoWaC)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Olaf Mikkelsen,,1183,[NOEN] være klar for [NOE],"Ja blir deilig å bli ferdig, men er klar for nye prosjekter (NoWaC)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Olaf Mikkelsen,,1184,[NOE] gi avkastning,"Dersom de opplever at deres anstrengelse gir avkastning, vil de i dette perspektivet etter hvert bli integrert i majoritetssamfunnet (NoWaC)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Olaf Mikkelsen,,1185,[NOEN] bruke [NOE/NOEN] som [NOE],Keeperen kaster seg ned i beina på Adrian etter at han har brukt keeperen som rundingsbøye (NoWaC),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Olaf Mikkelsen,,1186,[NOEN] samle inn [NOE],"De har Solidaritetsdag på skolen, og skal samle inn penger til et formål (NoWaC)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Olaf Mikkelsen,,1187,med utgangspunkt i X,med utgangspunkt i data samlet inn fra juli i fjor fjor til juni i år (NoWaC),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Olaf Mikkelsen,,1188,fra [TID] til [TID],med utgangspunkt i data samlet inn fra juli i fjor fjor til juni i år (NoWaC),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Olaf Mikkelsen,,1189,ikke engang X,Noen ting kan ikke engang avstand spare en for (NoWaC),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Olaf Mikkelsen,,1190,X som aldri før,Det nærmer seg Stortingsvalget til høsten og de eldre er i fokus som aldri før (NoWaC),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Olaf Mikkelsen,,1191,[NOE] dø ut,"Sangen dør ut, men påbegynnes igjen noen minutter senere (NoWaC)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Olaf Mikkelsen,,1192,en rekke X,"På sin reise hjem møter de en rekke andre reisende, blant dem et skuespillerfølge (NoWaC)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Olaf Mikkelsen,,1193,X for livet,"løpe for livet, venner for livet",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
